weekday,hour,uploads,views
0,2,1,1569
0,8,1,217
0,10,9,4141
0,11,2,1706
0,12,1,287
0,15,2,2252
0,16,2,1143
0,17,2,271
0,18,3,1832
0,19,3,55282
0,20,2,1373
0,21,1,265
0,22,1,374
0,23,3,4674
1,0,1,660
1,1,2,4222
1,8,2,1704
1,9,1,18
1,10,6,2630
1,11,3,56930
1,12,4,2053
1,13,2,2208
1,14,6,904
1,15,4,4796
1,16,4,2495
1,17,14,60255
1,18,8,41257
1,19,6,17933
1,20,2,907
1,22,2,792
1,23,1,288
2,0,1,113
2,7,1,380
2,9,3,783
2,10,1,95
2,11,2,4097
2,12,3,772
2,13,2,1692
2,14,4,5249
2,15,3,2983
2,16,7,4884
2,17,5,10885
2,18,10,10474
2,19,4,4497
2,20,6,18398
2,22,1,11429
2,23,1,45
3,1,1,1227
3,7,1,1750
3,10,8,3159
3,11,1,1854
3,12,1,322
3,13,1,1650
3,14,4,11220
3,15,5,16732
3,16,9,6520
3,17,9,5356
3,18,12,16461
3,19,5,3645
3,20,3,12373
3,21,1,419
3,22,1,939
3,23,2,17526
4,0,2,8491
4,7,1,16
4,9,1,134
4,10,3,6048
4,12,4,45162
4,13,6,48513
4,14,2,2637
4,15,2,3289
4,16,5,3640
4,17,6,5354
4,18,10,7660
4,19,3,256
4,20,2,745
4,21,2,2595
4,22,1,1113
5,8,1,1780
5,10,5,1986
5,11,3,1938
5,12,2,250
5,13,3,1078
5,14,5,3703
5,15,6,6967
5,16,9,88933
5,17,16,32625
5,18,15,198213
5,19,12,10415
5,20,8,20915
5,21,1,1026
5,22,9,106008
5,23,3,3595
6,0,2,829
6,1,1,0
6,2,3,1717
6,3,1,0
6,9,2,2758
6,10,5,3679
6,11,1,361
6,12,1,2181
6,13,5,4763
6,14,2,13809
6,15,1,4816
6,16,4,31741
6,17,1,1534
6,18,3,3878
6,19,2,4973
6,20,2,642
6,21,3,8061
6,22,2,1821
