week,uploads,views,likes,comments,er,shorts_ratio
2025-W45,34,54249,1291,0,0.023798,0.7353
2025-W46,102,424674,5761,0,0.013566,0.7941
2025-W47,70,288219,2467,0,0.008559,0.7571
2025-W48,100,267312,1233,0,0.004613,0.7600
2025-W49,83,112009,567,0,0.005062,0.7108
2025-W50,19,9552,31,0,0.003245,0.7895
