product,brand,category,videos,views,likes,comments,views_avg,likes_avg,comments_avg,engagement_rate,shorts_ratio,views_median,views_p90,sov_posts,sov_views
울쎄라,competitor,HIFU,83,1846559,13602,1616,22247.70,163.88,19.47,0.008241,0.0482,92,4198.799999999999,0.224932,0.630312
써마지,competitor,RF,103,521137,8034,359,5059.58,78.00,3.49,0.016105,0.8544,728,3050.1999999999994,0.279133,0.177887
슈링크,competitor,HIFU,38,201209,2320,203,5294.97,61.05,5.34,0.012539,0.7895,315.5,2709.800000000005,0.102981,0.068682
세르프,competitor,RF,30,92303,376,30,3076.77,12.53,1.00,0.004399,0.9000,667,2511.3,0.081301,0.031507
쿨소닉,asterasys,HIFU,5,91973,64,50,18394.60,12.80,10.00,0.001239,0.4000,1771,47796.600000000006,0.013550,0.031394
올리지오,competitor,RF,18,65710,580,130,3650.56,32.22,7.22,0.010805,0.5000,1302.5,11741.300000000001,0.048780,0.022430
덴서티,competitor,RF,19,59529,169,15,3133.11,8.89,0.79,0.003091,0.8421,1694,5410.599999999991,0.051491,0.020320
인모드,competitor,RF,18,14250,67,11,791.67,3.72,0.61,0.005474,0.7778,460.5,2198.5,0.048780,0.004864
리니어지,competitor,HIFU,7,6840,17,10,977.14,2.43,1.43,0.003947,0.7143,558,2359.0000000000005,0.018970,0.002335
브이로,competitor,HIFU,11,6246,39,1,567.82,3.55,0.09,0.006404,0.9091,388,1313,0.029810,0.002132
볼뉴머,competitor,RF,6,5204,37,7,867.33,6.17,1.17,0.008455,0.6667,412.5,2094,0.016260,0.001776
텐써마,competitor,RF,6,5012,42,1,835.33,7.00,0.17,0.008579,0.8333,553,1748.5,0.016260,0.001711
리프테라,asterasys,HIFU,5,4328,3,13,865.60,0.60,2.60,0.003697,0.6000,370,1964.4,0.013550,0.001477
쿨페이즈,asterasys,RF,7,3789,29,6,541.29,4.14,0.86,0.009237,0.8571,325,1071.2000000000003,0.018970,0.001293
리니어펌,competitor,HIFU,4,2248,18,1,562.00,4.50,0.25,0.008452,0.7500,259.5,1301.9,0.010840,0.000767
텐쎄라,competitor,HIFU,5,1486,28,0,297.20,5.60,0.00,0.018843,0.8000,143,690.8000000000001,0.013550,0.000507
튠라이너,competitor,HIFU,2,1333,1,0,666.50,0.50,0.00,0.000750,0.0000,666.5,1152.5,0.005420,0.000455
튠페이스,competitor,RF,2,438,0,0,219.00,0.00,0.00,0.000000,1.0000,219,291.8,0.005420,0.000150
