기기구분,병원명,url,릴리즈 날짜,,기사 릴리즈
쿨페이즈,바노바기의원 창원점,https://www.medisobizanews.com/news/articleView.html?idxno=128979,9/16,,
쿨페이즈,다시봄날의원 지축점,https://www.medisobizanews.com/news/articleView.html?idxno=129157,9/22,,
