키워드,그룹,월감 검색량, 검색량 순위
써마지,고주파,544,1
인모드,고주파,328,2
덴서티,고주파,239,3
쿨페이즈,고주파,220,4
올리지오,고주파,77,5
튠페이스,고주파,67,6
세르프,고주파,42,7
텐써마,고주파,42,8
볼뉴머,고주파,26,9
울쎄라,초음파,531,1
슈링크,초음파,256,2
쿨소닉,초음파,230,3
리프테라,초음파,202,4
리니어지,초음파,100,5
브이로,초음파,37,6
텐쎄라,초음파,23,7
튠라이너,초음파,22,8
리니어펌,초음파,1,9
