키워드,그룹,판매량
리프테라,초음파,492
쿨소닉,초음파,23
슈링크,초음파,"1,732"
리니어펌,초음파,402
리니어지,초음파,398
브이로,초음파,443
텐쎄라,초음파,416
튠라이너,초음파,325
쿨페이즈,고주파,159
튠페이스,고주파,325
볼뉴머,고주파,543
덴서티,고주파,502
올리지오,고주파,"1,032"
텐써마,고주파,568
세르프,고주파,381
