기기구분,채널,링크,댓글 수,,유튜브 댓글작업
리프테라,은지언니,https://youtube.com/shorts/TZn8Fd05nEQ?si=xe7h89dDztARx02n,5,,
,대전 샤인빔의원,https://youtube.com/shorts/EJSb3-K9zn8?si=ULpoodbqunVlO3gx,11,,
쿨페이즈,,,,,
쿨소닉,미엘르인청담의원,https://youtu.be/iBifhck_EB0?si=Z8gBGskW1xKxam3v,10,,
,고우석JMO피부과,https://youtu.be/hvdJ7OzZYdI?si=OmaTPla9DSVvHAF9,14,,
,예젤의원,https://youtu.be/pk0REZmVgds?si=VFIOpiFqsoRFhs4L,30,,
,리잰,https://youtube.com/shorts/Be6iyRDVvCs?si=aF2zlGgSURapcd0L,10,,
