기기구분,캠페인,통화 코드,평균 CPV,노출수,동영상,조회수
리프테라,2507_쿨페이즈 오피셜 (cpm),KRW,₩16,"9,527,923",https://www.youtube.com/watch?v=iTonMF_BpqM,"1,936,545"
,2507_닥터리프팅 쿨페이즈 본편,KRW,₩180,"752,500",https://www.youtube.com/watch?v=nLkzZSKMKhM,"17,638"
,2507_피부작가닥터 심현석 쿨페이즈 본편,KRW,₩201,896174,https://www.youtube.com/watch?v=C21aoiGuMqU,"12,776"
쿨페이즈,2507_쿨페이즈 오피셜 (cpm),KRW,₩16,"9,527,923",https://www.youtube.com/watch?v=iTonMF_BpqM,"1,936,545"
,2507_닥터리프팅 쿨페이즈 본편,KRW,₩180,"752,500",https://www.youtube.com/watch?v=nLkzZSKMKhM,"17,638"
,2507_피부작가닥터 심현석 쿨페이즈 본편,KRW,₩201,896174,https://www.youtube.com/watch?v=C21aoiGuMqU,"12,776"
쿨소닉,2507_쿨페이즈 오피셜 (cpm),KRW,₩16,"9,527,923",https://www.youtube.com/watch?v=iTonMF_BpqM,"1,936,545"
,2507_닥터리프팅 쿨페이즈 본편,KRW,₩180,"752,500",https://www.youtube.com/watch?v=nLkzZSKMKhM,"17,638"
,2507_피부작가닥터 심현석 쿨페이즈 본편,KRW,₩201,896174,https://www.youtube.com/watch?v=C21aoiGuMqU,"12,776"
