week,uploads,views,likes,comments,er,shorts_ratio
2025-W41,58,1028229,12360,1592,0.013569,0.6034
2025-W42,75,704305,839,96,0.001328,0.6400
2025-W43,96,896426,8063,318,0.009349,0.5729
2025-W44,97,270610,3929,355,0.015831,0.6907
2025-W45,43,30024,235,92,0.010891,0.6279
