channelId,channelName,type,uploads,views,likes,comments,avg_views,er,shorts_ratio,median_views,p90_views,avg_subscribers
UCrIk2YG_vR9BZsdbMgFrIzg,summerclinic,hospital_clinic,3,959493,8,0,319831.00,0.000008,0.0000,283796,524684.8,0.00
UCtkRVaUSpkuhqdKv39oBXKA,GwanjongUn-ni,creator,1,816731,11000,1530,816731.00,0.015342,0.0000,816731,816731,0.00
UCJCOPEfLBgssX9TXC_Zeyig,Korea-Drskinny,creator,2,240293,1687,66,120146.50,0.007295,0.5000,120146.5,213746.9,0.00
UCdnvDYcvn9hEFjkCUYSdpfw,yerina____99,creator,1,138381,4700,152,138381.00,0.035063,0.0000,138381,138381,0.00
UCbFbzOHmp04AS2ZkFSpQ4Og,inayommi,creator,1,130116,1500,141,130116.00,0.012612,0.0000,130116,130116,0.00
UC2TVAsGhjLDziNSDiBUkYRQ,AntiAgingDrJung,creator,1,59155,17,19,59155.00,0.000609,0.0000,59155,59155,0.00
UC5lDrTi-3fmy46HUD4tYKOg,닥터어울림,creator,1,58201,216,2,58201.00,0.003746,1.0000,58201,58201,0.00
UCy8x6my84qw9NkGw7UvjL0w,derma_king,hospital_clinic,1,40847,572,26,40847.00,0.014640,1.0000,40847,40847,0.00
UC_GYujwCCQPWTCZTyo9laQg,UnknownSkinWorld,creator,2,34330,9,0,17165.00,0.000262,0.5000,17165,19293,0.00
UC4-1DB1AZBXK3kysnRyJpSg,삼성맑은피부과,hospital_clinic,1,30759,17,10,30759.00,0.000878,1.0000,30759,30759,0.00
UCZlTEEKh3ounqVfpf21WMeQ,choimona,creator,1,23912,373,102,23912.00,0.019865,0.0000,23912,23912,0.00
UCN4VyJry2NQk6xYOEtboWKQ,웃기집1,creator,2,23803,28,0,11901.50,0.001176,1.0000,11901.5,12221.9,0.00
UC3qh3KVgHf44TkX-Cj_TNSg,drchoipetittube,creator,3,19448,24,19,6482.67,0.002211,0.3333,7554,9481.2,0.00
UCkbxbOQkacvOGyDHuCu8_GA,doctor_pureen,creator,3,19298,154,3,6432.67,0.008136,1.0000,7506,7720.4,0.00
UCmlZPuP4mDK5sO7TNHUFRAw,millionDoctorKimHongDal,creator,9,15071,2790,1,1674.56,0.185190,0.6667,1433,3705,0.00
UCOEj_y4wNnNyNI1cDeH0dFQ,dr_knowing,creator,3,14658,61,2,4886.00,0.004298,1.0000,4577,6725,0.00
UCV-gZBbztDWwsIhSkxGQS3A,Hanmiin_Gangnam_Skin_Clinic,hospital_clinic,19,14434,108,14,759.68,0.008452,0.9474,699,1481.2,0.00
UCbsRrZA_k5rfWbp7XpAp1YA,qdclinic,hospital_clinic,3,12296,24,0,4098.67,0.001952,0.3333,2564,8235.2,0.00
UC0wlA-w5JIt0G0EeWQf65AQ,DAPRS,creator,1,11409,2,0,11409.00,0.000175,0.0000,11409,11409,0.00
UCEtIqGXXRrKf33n7q3PTB4Q,닥터류이드,creator,6,10694,156,6,1782.33,0.015149,0.6667,1652,2201,0.00
UC67WVtVmE6T-4iyDuJEtkJA,천안엘츠의원,hospital_clinic,19,10548,65,4,555.16,0.006542,0.8947,383,1242.6,0.00
UCdLeBLR4nEDNwNtmemSOYUg,anacli_SkinGuard,creator,1,10342,1,0,10342.00,0.000097,0.0000,10342,10342,0.00
UCMmWT0Gn_Tfb1HGoXw3M5Ug,doctormonet,creator,6,10225,61,9,1704.17,0.006846,0.8333,1756.5,1986.5,0.00
UCw974uSVwGHCh55jlaCJEWQ,Dr.lee-filler,creator,1,9450,68,4,9450.00,0.007619,1.0000,9450,9450,0.00
UCxA9k7UJz50ZJPa5aUGf7fw,pibutenten,creator,2,5247,138,19,2623.50,0.029922,0.0000,2623.5,3331.1000000000004,0.00
UCQVjBIim1LFFp_GmFL7H3kA,송은이망극-m9d,creator,2,5007,16,1,2503.50,0.003395,0.0000,2503.5,4477.5,0.00
UC2szcD59tbkwLiUHwLr8jEg,haen.kardashian,creator,1,4742,62,10,4742.00,0.015183,1.0000,4742,4742,0.00
UCHEg4ys4UEyzJ07rbz_d-4w,dr.hk_ppp,creator,3,4635,17,0,1545.00,0.003668,1.0000,2062,2165.2,0.00
UCV9cAJImma75-4Q1S_vDe0w,skinmom_cho,creator,3,4475,15,2,1491.67,0.003799,1.0000,1801,2414.6,0.00
UCORFlmFw9NjuhwCEz9epUFA,Skin_Couple,creator,3,4402,27,0,1467.33,0.006134,1.0000,1834,1879.6,0.00
UC8deOilBhofSIuPdhiemqYA,THEIACLINIC,hospital_clinic,1,4244,3,0,4244.00,0.000707,0.0000,4244,4244,0.00
UCvjmYao69vlJMJ6T7QxFIcQ,lovely오블리주,creator,1,4237,2,0,4237.00,0.000472,1.0000,4237,4237,0.00
UCrvj6Hr-0DHKtkjPNivcnMw,dr.hyo_beautysecret,creator,3,4140,27,2,1380.00,0.007005,0.3333,651,2823,0.00
UCHsqTxhyOaumSAlfa7odQAg,TV-DOBELY,creator,3,3911,0,10,1303.67,0.002557,0.6667,1731,2042.2,0.00
UCQ9b4dUabpgC0JSw3NtL7hw,dr.hyojung,creator,4,3814,25,1,953.50,0.006817,0.7500,1057,1586.4,0.00
UCTwdJnVGZHgKFc0LsYagaQw,피부삼촌,creator,1,3813,29,2,3813.00,0.008130,1.0000,3813,3813,0.00
UC2gfqJRVwVM1ui_xAunmv7A,doctorilse,creator,1,3547,44,0,3547.00,0.012405,1.0000,3547,3547,0.00
UCrBlkbpbK09RUqr0xSfX4_Q,김원장의시술노트,creator,3,3539,14,0,1179.67,0.003956,0.6667,1587,1804.6,0.00
UCJXsrM0XT67WROf6vQy719A,말빠른의사남호석,creator,2,3507,15,5,1753.50,0.005703,1.0000,1753.5,1965.1,0.00
UC2YjkXb4Ff0DEIOGHfmZlvQ,purpleclinic,hospital_clinic,5,3307,19,4,661.40,0.006955,1.0000,528,958.6,0.00
UCUk2Mne42mJ7dFASfEjrtyw,tentechinc.8495,creator,4,3292,27,0,823.00,0.008202,1.0000,553,1544.6000000000004,0.00
UCCzJ25IVCqosHaOAHkG2S3A,cdu528,creator,1,3251,20,0,3251.00,0.006152,1.0000,3251,3251,0.00
UC3Oj4UolSOAhpHPZZ7A2gIw,대구더올림성형외과,hospital_clinic,2,3214,5,0,1607.00,0.001556,1.0000,1607,2024.6,0.00
UCKgx5lO9SRxmrOJMOEdjKRQ,oneulhee,creator,1,3137,16,1,3137.00,0.005419,1.0000,3137,3137,0.00
UCvruFbcDnLnYMLfdS5MP91Q,Dr.Leehyunjung,creator,1,3136,8,0,3136.00,0.002551,1.0000,3136,3136,0.00
UC8yatiB3Vd2Y7qEznqvOAiw,Dr_Lion,creator,1,3108,24,2,3108.00,0.008366,1.0000,3108,3108,0.00
UCN_W7Pap6qJc4THS3i-yuuQ,닥터윤아빛나는사이,creator,3,2976,14,1,992.00,0.005040,0.6667,475,2042.2,0.00
UC_13aQtM36ZJDnwwr3DIfiQ,Petit_lab,creator,1,2836,8,0,2836.00,0.002821,1.0000,2836,2836,0.00
UCEvR5_CfamKFIXFSh5GDnuQ,Dr.JaerimKim,creator,2,2727,148,0,1363.50,0.054272,0.5000,1363.5,1994.3,0.00
UCRhACfjsdpVQZCn89Ya5MsQ,eugenes_skin,creator,2,2726,21,0,1363.00,0.007704,1.0000,1363,1453.4,0.00
UC5gt3XkMAwV5u-6KDndDdfA,beautis,creator,2,2617,27,3,1308.50,0.011464,0.5000,1308.5,2184.9,0.00
UCYB83lhFoUEhYGrwlh6yrmg,dr_neighbor,creator,2,2579,0,3,1289.50,0.001163,1.0000,1289.5,2025.1000000000001,0.00
UCZGMjgtQVYkrN8HmJqAsvmA,jfeelclinic1,hospital_clinic,3,2578,27,6,859.33,0.012801,0.3333,185,1869.8000000000002,0.00
UCQGR3Kz-Bk1at9CgMEPcYZA,psthesketch,creator,1,2513,14,2,2513.00,0.006367,1.0000,2513,2513,0.00
UCzw14cJ9ZwSRf5q-x9V18iQ,Derma_log,hospital_clinic,1,2505,3,0,2505.00,0.001198,1.0000,2505,2505,0.00
UCx8uHdZRCYFeEIrLfQ5SXzA,Letmein_Dr,creator,2,2475,4,2,1237.50,0.002424,1.0000,1237.5,1880.3,0.00
UCh4hYDI8vMBdV4f913wucvQ,cbjfirst,creator,3,2413,13,0,804.33,0.005387,0.6667,387,1627.8000000000002,0.00
UCMBcGDAkAzJ_mkAKdkDiDow,pointupclinic,hospital_clinic,1,2351,6,0,2351.00,0.002552,1.0000,2351,2351,0.00
UC1GwfeO1qgV7zYWH_YbWstQ,Drevers,creator,1,2341,16,0,2341.00,0.006835,1.0000,2341,2341,0.00
UCgi6t_yW9Y9xr1xuNVQr5nQ,dr_ji_on,creator,1,2266,10,0,2266.00,0.004413,1.0000,2266,2266,0.00
UC_kzH6xrqY1S92g78fhpmJQ,30대성형외과의사는어,hospital_clinic,1,2204,30,7,2204.00,0.016788,1.0000,2204,2204,0.00
UChmdo6BXVUIDnaX1o6X_yJg,Nyeongju2,creator,1,2194,5,1,2194.00,0.002735,1.0000,2194,2194,0.00
UCtojswNvgH-ZM_IamQNEnoA,Skinmaster_Park,creator,1,2189,5,0,2189.00,0.002284,1.0000,2189,2189,0.00
UCPB3HubJ__JaWGOSjJIoRMA,petitplusclinic-mg,hospital_clinic,2,2167,10,0,1083.50,0.004615,1.0000,1083.5,1503.9,0.00
UC8ynRl4mUwAODAo_GgOxCbw,치유앤미성형외과,hospital_clinic,2,2145,13,5,1072.50,0.008392,1.0000,1072.5,1483.3000000000002,0.00
UCQviWf6p_Kc6dXangO1apIA,BADA_ps,creator,1,2115,11,0,2115.00,0.005201,1.0000,2115,2115,0.00
UCOYnlDs4nyLZFOt1Pfwnvlg,resetclinic_bd,hospital_clinic,1,2085,8,0,2085.00,0.003837,1.0000,2085,2085,0.00
UCIH_Box_GnlZ-iTg6H9Y-hg,Dr.dj-tomorrowskin,creator,2,2075,20,4,1037.50,0.011566,0.5000,1037.5,1726.7,0.00
UCEnQVEmVjiBvSNYMNxH6DLg,RELAB_SKIN,creator,1,2036,4,0,2036.00,0.001965,1.0000,2036,2036,0.00
UCrYNYrJ9hysbd2DiqqYqU9g,Derskinlab,creator,1,2007,9,0,2007.00,0.004484,1.0000,2007,2007,0.00
UCi_OZ9t3PYIsCTE3bsAWHjA,drskinnote,creator,1,1978,9,0,1978.00,0.004550,1.0000,1978,1978,0.00
UCmd59jfRZMILkr6Ntq4v1NA,닥터정의스케치북,creator,3,1944,6,0,648.00,0.003086,1.0000,659,1051,0.00
UCY_wbu305pixkOO7Pc6XEBA,땡큐,creator,1,1897,0,0,1897.00,0.000000,1.0000,1897,1897,0.00
UCPcfwmf3j_HiDWFJIm1hylg,하나뿐인피부과전문의,hospital_clinic,1,1832,12,5,1832.00,0.009279,1.0000,1832,1832,0.00
UCroxkHNuIk9q8hgc0jRz5DA,Skin_Rescue_OH,creator,2,1805,48,68,902.50,0.064266,0.5000,902.5,1406.9,0.00
UCeZ6de_Q3JaKP3wpFOeAoqw,bethelskin,creator,5,1804,0,0,360.80,0.000000,0.8000,381,549,0.00
UCkCaZ_DLD-I2hVHemxZo4RQ,Dr.Classy.dermatologist,hospital_clinic,1,1804,6,0,1804.00,0.003326,1.0000,1804,1804,0.00
UCKO04MzJwobjAGZJcT19PRA,ANEWCLINIC_,hospital_clinic,1,1797,4,0,1797.00,0.002226,1.0000,1797,1797,0.00
UCDm6UJ7cowmsHBVrZ3csqeg,i_m_ye_ji,creator,1,1771,22,18,1771.00,0.022586,1.0000,1771,1771,0.00
UCI1FzyXuZS2ATWrFeuGdWFw,jjinuichinTV,creator,1,1739,1,0,1739.00,0.000575,1.0000,1739,1739,0.00
UCJqXQYjptGVvjIUXY8huSOw,의약신잡,creator,2,1733,1,2,866.50,0.001731,1.0000,866.5,1355.7,0.00
UCxNoCOoPIQbZBPfU4gVrS-w,latienne_kr,creator,2,1729,17,1,864.50,0.010411,0.5000,864.5,1516.1000000000001,0.00
UCoI_80yzSnXP_qAs7rRnY3g,cellinclinic,hospital_clinic,3,1729,12,1,576.33,0.007519,0.6667,93,1273,0.00
UC9-WKkUT5VfEp55VvvDnyDw,CULBMIZLAMICHE,creator,1,1724,4,1,1724.00,0.002900,1.0000,1724,1724,0.00
UCmTOTy6w090ItKW5llpIMHQ,Kongdreamskin,creator,1,1694,9,1,1694.00,0.005903,1.0000,1694,1694,0.00
UCfggJMmqDJjKoNgxnQbW98g,피부담당고원장,creator,1,1667,19,4,1667.00,0.013797,1.0000,1667,1667,0.00
UCSEFg1JkYHRgegliyyGtaJw,베일러클리닉,hospital_clinic,2,1605,3,0,802.50,0.001869,1.0000,802.5,1438.9,0.00
UC4RCO3Qm4cTMJsKdojmaFRA,아용로그,creator,1,1596,12,0,1596.00,0.007519,1.0000,1596,1596,0.00
UCYT3bSlwgawm5pI2_zRBTlg,samsungfeel,creator,1,1550,2,0,1550.00,0.001290,1.0000,1550,1550,0.00
UCSFErHAqRtYswUyp7gn6LJA,homebeautyp,creator,1,1532,3,1,1532.00,0.002611,1.0000,1532,1532,0.00
UC_vfyMcwoTI94N-7ad7yJ0A,thedoorps,creator,1,1499,8,1,1499.00,0.006004,1.0000,1499,1499,0.00
UCr9UGHTsLEQba4GdYlkzEYA,ELEVclinic,hospital_clinic,1,1274,0,0,1274.00,0.000000,0.0000,1274,1274,0.00
UCL7jYjPKlYgKRxDpW9aP0Ew,SOONPLUS_PS,creator,1,1246,43,10,1246.00,0.042536,0.0000,1246,1246,0.00
UCYyugmkrslcPePrShZBv6RA,피부다빈치전인경,creator,4,1130,10,2,282.50,0.010619,0.2500,81,652.3000000000002,0.00
UCQ7raMPLplkK3v01osRgW6A,Dr815,creator,1,1128,3,0,1128.00,0.002660,1.0000,1128,1128,0.00
UCMtzqmpH04tM390evp1gb9A,seoulviewsejong,creator,3,1038,17,0,346.00,0.016378,0.6667,371,568.6,0.00
UCsIJoEEHSbdwAHYMuK8Ggbg,doctor_with,creator,5,1022,4,0,204.40,0.003914,0.8000,218,295,0.00
