product,format,uploads,views,likes,comments,er
덴서티,shorts,16,38270,129,2,0.003423
덴서티,video,3,21259,40,13,0.002493
리니어지,shorts,5,6637,15,10,0.003767
리니어지,video,2,203,2,0,0.009852
리니어펌,shorts,3,2198,10,0,0.004550
리니어펌,video,1,50,8,1,0.180000
리프테라,shorts,3,4221,0,12,0.002843
리프테라,video,2,107,3,1,0.037383
볼뉴머,shorts,4,5013,28,6,0.006782
볼뉴머,video,2,191,9,1,0.052356
브이로,shorts,10,6091,31,0,0.005089
브이로,video,1,155,8,1,0.058065
세르프,shorts,27,79966,319,21,0.004252
세르프,video,3,12337,57,9,0.005350
슈링크,shorts,30,70199,729,35,0.010883
슈링크,video,8,131010,1591,168,0.013426
써마지,shorts,88,374859,2266,106,0.006328
써마지,video,15,146278,5768,253,0.041161
올리지오,shorts,9,39824,179,20,0.004997
올리지오,video,9,25886,401,110,0.019740
울쎄라,shorts,4,6365,37,0,0.005813
울쎄라,video,79,1840194,13565,1616,0.008250
인모드,shorts,14,14230,62,7,0.004849
인모드,video,4,20,5,4,0.450000
쿨소닉,shorts,2,32530,39,28,0.002060
쿨소닉,video,3,59443,25,22,0.000791
쿨페이즈,shorts,6,3685,25,5,0.008141
쿨페이즈,video,1,104,4,1,0.048077
텐써마,shorts,5,4888,39,0,0.007979
텐써마,video,1,124,3,1,0.032258
텐쎄라,shorts,4,1439,20,0,0.013899
텐쎄라,video,1,47,8,0,0.170213
튠라이너,video,2,1333,1,0,0.000750
튠페이스,shorts,2,438,0,0,0.000000
