weekday,hour,uploads,views
0,3,1,6
0,4,1,138381
0,10,3,1736
0,16,1,3366
0,17,1,92
0,18,2,2449
0,20,1,7506
0,21,3,590
0,23,7,6121
1,0,2,225
1,9,4,2346
1,10,4,12639
1,11,3,938
1,12,1,1550
1,14,4,1262
1,15,8,6190
1,16,2,1088
1,17,10,6197
1,18,12,9189
1,19,6,10000
1,20,4,1965
1,21,3,38408
1,22,2,1684
1,23,2,1354
2,0,2,927
2,10,3,2299
2,11,5,2485
2,12,3,12777
2,13,1,2115
2,14,2,225
2,15,1,60
2,16,4,2436
2,17,3,1900
2,18,17,21709
2,19,2,2010
2,20,7,16364
2,21,2,1657
2,22,3,2630
2,23,1,136
3,0,1,420
3,1,1,49
3,3,1,57
3,9,2,743
3,10,4,5644
3,11,5,4566
3,12,4,65405
3,13,1,3251
3,14,3,13191
3,15,2,3433
3,17,17,262379
3,18,18,28956
3,19,8,10252
3,20,5,138049
3,21,2,642
3,22,1,659
3,23,1,1149
4,2,1,23
4,5,1,2
4,7,1,0
4,9,2,402
4,10,3,264
4,11,4,3838
4,12,2,1731
4,13,1,369
4,14,3,2692
4,15,5,5240
4,16,2,3831
4,17,5,58842
4,18,8,820756
4,19,13,50781
4,20,1,2266
4,22,3,61179
5,0,1,6
5,7,1,88
5,8,2,2542
5,9,2,495
5,10,2,533
5,11,3,206
5,12,5,15986
5,13,1,582
5,14,4,4458
5,15,2,976
5,16,6,2254
5,17,10,17208
5,18,19,109170
5,19,4,285038
5,20,4,2084
5,21,2,2618
5,22,2,1702
5,23,1,728
6,1,2,1021
6,7,1,2204
6,9,1,190
6,10,1,625
6,11,3,507
6,12,2,3494
6,13,2,1239
6,14,2,1238
6,15,1,2550
6,16,1,641
6,17,2,448
6,18,3,5436
6,19,1,2120
6,21,1,227
6,23,1,584907
