키워드,그룹,총 판매량,9월 판매량
리프테라,초음파,498,3
쿨소닉,초음파,40,9
슈링크,초음파,1988,254
리니어펌,초음파,402,0
리니어지,초음파,406,4
브이로,초음파,443,0
텐쎄라,초음파,417,0
튠라이너,초음파,335,0
울쎄라,초음파,1656,
쿨페이즈,고주파,174,5
튠페이스,고주파,335,0
볼뉴머,고주파,567,16
덴서티,고주파,522,13
올리지오,고주파,1222,2
텐써마,고주파,589,7
세르프,고주파,434,19
써마지,고주파,1083,
