키워드,그룹,총 판매량,월간 판매량
리프테라,초음파,506,4
쿨소닉,초음파,62,8
슈링크,초음파,1990,1
리니어펌,초음파,402,0
리니어지,초음파,419,6
브이로,초음파,286,0
텐쎄라,초음파,419,2
튠라이너,초음파,334,0
울쎄라,초음파,1810,96
쿨페이즈,고주파,189,6
튠페이스,고주파,334,0
볼뉴머,고주파,569,1
덴서티,고주파,558,18
올리지오,고주파,1034,0
텐써마,고주파,606,3
세르프,고주파,460,15
써마지,고주파,1192,48
