기기구분,캠페인,통화 코드,평균 CPV,조회수,동영상,,,,유튜브광고
리프테라,2511 리프테라2 오피셜 CM,KRW,29,248704,https://www.youtube.com/watch?v=DO7A5Iutn84,,,,
쿨페이즈,2510_쿨페이즈 오피셜,KRW,31,246412,https://www.youtube.com/watch?v=iTonMF_BpqM,,,,
