기기구분,병원명,url,총 발행 수
리프테라,사르티네,https://blog.naver.com/purchase785/224078016687,1
리프테라,리마인드,https://blog.naver.com/oqiq2f4x5/224065551305,2
리프테라,리마인드,https://blog.naver.com/oqiq2f4x5/224093479102,
리프테라,유어힐,https://blog.naver.com/hbvu34mes/224071571878,2
리프테라,유어힐,https://blog.naver.com/hbvu34mes/224093266342,
리프테라,온리영,https://blog.naver.com/rhs1vc3sc/224072914458,2
리프테라,온리영,https://blog.naver.com/y12js9iq1/224086867598,
리프테라,리부팅,https://blog.naver.com/qdpzsijq1/224085635069,2
리프테라,리부팅,https://blog.naver.com/qdpzsijq1/224086852610,
리프테라,바노바기 창원,https://blog.naver.com/ejwwewqta/224078096952,2
리프테라,바노바기 창원,https://blog.naver.com/ejwwewqta/224093169218,
쿨페이즈,사르티네,https://blog.naver.com/purchase785/224067123981,2
쿨페이즈,사르티네,https://blog.naver.com/purchase785/224085579113,
쿨페이즈,비본영,https://blog.naver.com/s5gageqiy/224078029159,3
쿨페이즈,비본영,https://blog.naver.com/s5gageqiy/224085566621,
쿨페이즈,비본영,https://blog.naver.com/s5gageqiy/224093180352,
쿨페이즈,온리빛,https://blog.naver.com/wjmf2ucjv/224071560786,2
쿨페이즈,온리빛,https://blog.naver.com/wjmf2ucjv/224078077954,
쿨페이즈,온리영,https://blog.naver.com/y12js9iq1/224081583746,2
쿨페이즈,온리영,https://blog.naver.com/y12js9iq1/224093277033,
쿨페이즈,리부팅,https://blog.naver.com/qdpzsijq1/224081553176,2
쿨페이즈,리부팅,https://blog.naver.com/qdpzsijq1/224093159658,
쿨페이즈,바노바기 창원,https://blog.naver.com/ejwwewqta/224072904328,2
쿨페이즈,바노바기 창원,https://blog.naver.com/ejwwewqta/224085601203,
쿨페이즈,리마인드,https://blog.naver.com/oqiq2f4x5/224085554211,2
쿨페이즈,리마인드,https://blog.naver.com/oqiq2f4x5/224093146532,
쿨소닉,사르티네,https://blog.naver.com/purchase785/224093203977,1
쿨소닉,비본영,https://blog.naver.com/s5gageqiy/224067134718,1
쿨소닉,유어힐,https://blog.naver.com/hbvu34mes/224078062294,2
쿨소닉,유어힐,https://blog.naver.com/hbvu34mes/224085623735,
쿨소닉,온리빛,https://blog.naver.com/wjmf2ucjv/224085610813,2
쿨소닉,온리빛,https://blog.naver.com/wjmf2ucjv/224093254099,
