product,brand,category,videos,views,likes,comments,views_avg,likes_avg,comments_avg,engagement_rate,shorts_ratio,views_median,views_p90,sov_posts,sov_views
슈링크,competitor,HIFU,37,648361,1572,218,17523.27,42.49,5.89,0.002761,0.4865,494,3553.999999999999,0.054896,0.310341
울쎄라,competitor,HIFU,321,463642,6403,442,1444.37,19.95,1.38,0.014764,0.6947,609,2584,0.476261,0.221924
써마지,competitor,RF,112,395139,6470,345,3528.03,57.77,3.08,0.017247,0.7054,833.5,2826.1,0.166172,0.189135
덴서티,competitor,RF,26,161215,2598,219,6200.58,99.92,8.42,0.017474,0.6154,581,10455.5,0.038576,0.077166
리프테라,asterasys,HIFU,11,156094,2513,192,14190.36,228.45,17.45,0.017329,0.5455,777,2050,0.016320,0.074715
인모드,competitor,RF,39,61160,1341,161,1568.21,34.38,4.13,0.024559,0.5385,440,2064.400000000002,0.057864,0.029275
세르프,competitor,RF,53,54635,243,25,1030.85,4.58,0.47,0.004905,0.7736,527,2156.0000000000023,0.078635,0.026151
튠페이스,competitor,RF,9,35324,251,103,3924.89,27.89,11.44,0.010022,0.5556,975,10380.600000000002,0.013353,0.016908
리니어지,competitor,HIFU,6,26306,65,22,4384.33,10.83,3.67,0.003307,0.5000,1310.5,11758.5,0.008902,0.012591
텐써마,competitor,RF,9,20407,222,74,2267.44,24.67,8.22,0.014505,0.3333,164,7254.800000000001,0.013353,0.009768
올리지오,competitor,RF,14,16542,220,15,1181.57,15.71,1.07,0.014206,0.6429,441.5,1933.3000000000002,0.020772,0.007918
텐쎄라,competitor,HIFU,2,13192,19,12,6596.00,9.50,6.00,0.002350,0.5000,6596,11688.800000000001,0.002967,0.006314
볼뉴머,competitor,RF,13,11730,498,17,902.31,38.31,1.31,0.043905,0.6923,359,2187.4,0.019288,0.005615
브이로,competitor,HIFU,3,8973,293,28,2991.00,97.67,9.33,0.035774,0.6667,897,6224.200000000001,0.004451,0.004295
쿨소닉,asterasys,HIFU,5,6122,108,60,1224.40,21.60,12.00,0.027442,0.4000,841,2642,0.007418,0.002930
튠라이너,competitor,HIFU,6,5371,60,14,895.17,10.00,2.33,0.013778,0.3333,895,1768,0.008902,0.002571
쿨페이즈,asterasys,RF,7,4977,97,55,711.00,13.86,7.86,0.030540,0.7143,319,1576.4,0.010386,0.002382
리니어펌,competitor,HIFU,1,0,0,0,0.00,0.00,0.00,0.000000,0.0000,0,0,0.001484,0.000000
