channelId,channelName,type,uploads,views,likes,comments,avg_views,er,shorts_ratio,median_views,p90_views,avg_subscribers
UCLQGtWKPkg6xeTgkqG45O8g,유민,creator,1,29,2,3,29.00,0.172414,0.0000,29,29,627.00
UCsrbBXnIIYEdsgo1zJVn0-w,직장인곰,creator,1,28,0,0,28.00,0.000000,1.0000,28,28,18.00
UCca1M4TL_P_OkOYJ0NgcBGw,바냐냐,creator,1,26,1,3,26.00,0.153846,1.0000,26,26,5.00
UC1CMazRHwKJpvLNvQhhUXIQ,레나,creator,1,26,3,1,26.00,0.153846,1.0000,26,26,21.00
UCu1bt7gD-XFKHmi5Szl8LNA,뉴리즈피부톡,hospital_clinic,1,24,0,1,24.00,0.041667,0.0000,24,24,66.00
UCvdl07M6P1SLS1JepQEdVtw,제이더마tv,creator,4,24,0,0,6.00,0.000000,0.5000,2,13.200000000000003,254.00
UCnadnNWrML-j1lAUx5AKtWQ,노래하지영-lea,creator,1,23,3,2,23.00,0.217391,0.0000,23,23,138.00
UCckNZIZfIw2H8mv8gPAkcBQ,하이딸기냥,creator,1,22,2,0,22.00,0.090909,1.0000,22,22,35.00
UCxlJ2hPOnPJ6hWDM5OZFcsw,호치민찌니,creator,1,21,3,3,21.00,0.285714,0.0000,21,21,22.00
UCUj6XhX1gFPo_zz9n856tVA,햄밍이 ham ming,creator,1,21,3,0,21.00,0.142857,1.0000,21,21,12.00
UC6YhebUXaOZdpfFY80Bw78A,BAKERS KOREA,brand,7,21,4,0,3.00,0.190476,0.0000,2,6.8000000000000025,45.00
UCVIHyUV9vz6dmnNSU6Zxhgg,봄담람패밀리[BOMDAMRAM_TUBE],creator,1,20,0,0,20.00,0.000000,1.0000,20,20,60.00
UCt-KPWSC8bTtNh4y7fxq1rg,유콩🫛,creator,1,20,1,1,20.00,0.100000,1.0000,20,20,81.00
UCzqdX_SyiadyWGXDkeg0R-Q,픽튜브,creator,1,19,0,0,19.00,0.000000,1.0000,19,19,7950.00
UCS625pax4wxKqnn7InUKhPw,Yieeb (이비),creator,1,19,0,0,19.00,0.000000,0.0000,19,19,19.00
UCeKdHJw8k761N627DKOMp8g,닥터리: 미담,creator,1,19,1,0,19.00,0.052632,0.0000,19,19,2.00
UCQKf5x67ZNtBmP63PGQdxNA,료멘스쿠나,creator,1,19,2,0,19.00,0.105263,1.0000,19,19,59.00
UCpebY4i5OeeCC-mADKsfZpg,펜타클 Pentacle,creator,1,19,0,0,19.00,0.000000,0.0000,19,19,348.00
UCu65-bTbylkYfl2_Fz3mwcQ,5의여자,creator,1,19,0,0,19.00,0.000000,0.0000,19,19,2.00
UCW9l0oVar25PoGHj5IcoJ0g,초윤쓰👽,creator,1,18,3,0,18.00,0.166667,1.0000,18,18,232.00
UCf_v8awL9g8jmQy9Qg5MZ3Q,규의 소소한 일상,creator,1,18,1,0,18.00,0.055556,0.0000,18,18,55.00
UC7rVsbW4t9nASx3D8rxEOng,민수박,creator,1,18,3,0,18.00,0.166667,1.0000,18,18,76.00
UCZvN4XfIMIxO2ToQK4wYuVA,징징이🥲,creator,1,17,3,0,17.00,0.176471,1.0000,17,17,6.00
UCufc6D_Fzj9uvpButRksE6g,야무지게 사는여자(만두누나)(mandoo sister),creator,1,16,0,0,16.00,0.000000,1.0000,16,16,1840.00
UCqrreJgadYgXYzno6yUOK5Q,스타의 일상,creator,1,16,0,0,16.00,0.000000,0.0000,16,16,1480.00
UCWPPK0bCAW4kaLPK-GrpkMA,핫템월드,creator,1,16,0,1,16.00,0.062500,0.0000,16,16,483.00
UC4TI327frMm1NLge0yNpYfw,효이,creator,1,16,1,0,16.00,0.062500,1.0000,16,16,3.00
UC4Ws5Xi2p7B3I4AOLm-v2TQ,scorpion,creator,1,16,1,0,16.00,0.062500,0.0000,16,16,366.00
UC21pgxUAmBdWnFcgPn6k8WQ,솔룽이⚆_⚆,creator,1,15,3,0,15.00,0.200000,0.0000,15,15,45.00
UC4MG9aBnc4v1o9B8Xqe6fEA,쀼요소다 지윤,creator,1,15,4,0,15.00,0.266667,0.0000,15,15,55.00
UCA04XXr-LuQZgkUxBZ7kD0Q,기만ㄴ비,creator,1,15,1,0,15.00,0.066667,0.0000,15,15,80.00
UCGkwniNlaLArou5MhJC6F4A,뽀유,creator,1,13,2,1,13.00,0.230769,1.0000,13,13,136.00
