week,uploads,views,likes,comments,er,shorts_ratio
2025-W31,225,676520,3504,523,0.005953,0.7156
2025-W32,211,1937543,7829,545,0.004322,0.7393
2025-W33,267,2092766,20439,1333,0.010403,0.6442
2025-W34,268,1518823,12886,1226,0.009291,0.6493
2025-W35,188,174156,1682,353,0.011685,0.6702
