키워드,그룹,총 판매량,8월 판매량
리프테라,초음파,495,3
쿨소닉,초음파,31,8
슈링크,초음파,1734,2
리니어펌,초음파,402,0
리니어지,초음파,403,5
브이로,초음파,467,24
텐쎄라,초음파,417,1
튠라이너,초음파,365,40
쿨페이즈,고주파,169,10
튠페이스,고주파,365,40
볼뉴머,고주파,551,8
덴서티,고주파,509,7
올리지오,고주파,1220,188
텐써마,고주파,582,14
세르프,고주파,415,34
