channelId,channelName,type,uploads,views,likes,comments,avg_views,er,shorts_ratio,median_views,p90_views,avg_subscribers
UCCUVSREmeZiOt1eC8aJWIZw,UCCUVSREmeZiOt1eC8aJWIZw,creator,11,2681,15,0,243.73,0.005595,0.8182,256,407,0.00
UCUH_M0bX4f1JZns0WdBJVKQ,UCUH_M0bX4f1JZns0WdBJVKQ,creator,1,2659,44,3,2659.00,0.017676,1.0000,2659,2659,0.00
UCqrCByrV8_yhgMAVV5MGL2w,UCqrCByrV8_yhgMAVV5MGL2w,creator,1,2642,4,0,2642.00,0.001514,1.0000,2642,2642,0.00
UCY3smFQOei_iaBtrV4eTvjQ,UCY3smFQOei_iaBtrV4eTvjQ,hospital_clinic,5,2583,15,0,516.60,0.005807,1.0000,314,986.6000000000001,0.00
UCjjL9P7exq97lMsuj0A3_RA,UCjjL9P7exq97lMsuj0A3_RA,hospital_clinic,2,2540,0,2,1270.00,0.000787,0.5000,1270,2098.8,0.00
UChjwVAo4dy1OIUtc1C1KXQA,UChjwVAo4dy1OIUtc1C1KXQA,creator,1,2535,12,0,2535.00,0.004734,1.0000,2535,2535,0.00
UC3UcOp1BdlEYnJxi76Qb4-A,UC3UcOp1BdlEYnJxi76Qb4-A,hospital_clinic,2,2492,12,12,1246.00,0.009631,1.0000,1246,1246,0.00
UCtyNJBrj8kI7YqIr0Kp_xfw,UCtyNJBrj8kI7YqIr0Kp_xfw,hospital_clinic,2,2472,13,0,1236.00,0.005259,1.0000,1236,1499.2,0.00
UC2YjkXb4Ff0DEIOGHfmZlvQ,UC2YjkXb4Ff0DEIOGHfmZlvQ,hospital_clinic,6,2449,20,6,408.17,0.010617,1.0000,458.5,514.5,0.00
UC789RQ_NBV9AGsCkjAOT7Vw,UC789RQ_NBV9AGsCkjAOT7Vw,creator,2,2436,23,2,1218.00,0.010263,0.5000,1218,2014,0.00
UCxNoCOoPIQbZBPfU4gVrS-w,UCxNoCOoPIQbZBPfU4gVrS-w,creator,1,2411,12,0,2411.00,0.004977,1.0000,2411,2411,0.00
UCeOSB06M7z71suvGVAGnbrg,UCeOSB06M7z71suvGVAGnbrg,creator,1,2406,23,3,2406.00,0.010806,1.0000,2406,2406,0.00
UCGkBcBOvxmQdR36QUc1Rb-A,UCGkBcBOvxmQdR36QUc1Rb-A,hospital_clinic,2,2396,4,0,1198.00,0.001669,1.0000,1198,1198,0.00
UCq1_qzwQLqm-w0AQMe4NsPA,UCq1_qzwQLqm-w0AQMe4NsPA,creator,1,2385,4,0,2385.00,0.001677,1.0000,2385,2385,0.00
UC3nIJ5UPwX94OSPmp5aJ6uQ,UC3nIJ5UPwX94OSPmp5aJ6uQ,creator,3,2385,14,0,795.00,0.005870,0.6667,512,1233.6,0.00
UCvQCmSsCRb8z3q0SO5JW8Pw,UCvQCmSsCRb8z3q0SO5JW8Pw,hospital_clinic,2,2368,50,8,1184.00,0.024493,0.0000,1184,1184,0.00
UC_Ss3MFoE_hy9lWEQhOpCbg,UC_Ss3MFoE_hy9lWEQhOpCbg,creator,3,2321,17,2,773.67,0.008186,0.6667,473,1418.6,0.00
UCIEiLmu_FaZ-NNUrT45otHQ,UCIEiLmu_FaZ-NNUrT45otHQ,hospital_clinic,1,2271,4,0,2271.00,0.001761,1.0000,2271,2271,0.00
UC-iXE6ByDkIyvFsjdPws7_A,UC-iXE6ByDkIyvFsjdPws7_A,creator,2,2237,9,0,1118.50,0.004023,1.0000,1118.5,1616.5,0.00
UC4OGeW5FgXNoTudGd8iiPUA,UC4OGeW5FgXNoTudGd8iiPUA,creator,1,2142,14,0,2142.00,0.006536,1.0000,2142,2142,0.00
UC8yatiB3Vd2Y7qEznqvOAiw,UC8yatiB3Vd2Y7qEznqvOAiw,creator,1,2106,15,2,2106.00,0.008072,1.0000,2106,2106,0.00
UCW6XqPyTIKLlw9pUlEfV_AA,UCW6XqPyTIKLlw9pUlEfV_AA,creator,1,2088,5,0,2088.00,0.002395,1.0000,2088,2088,0.00
UC_1R5EcFBR6A9cau_UQLArg,UC_1R5EcFBR6A9cau_UQLArg,hospital_clinic,2,2077,19,0,1038.50,0.009148,0.5000,1038.5,1823.7,0.00
UCVoD0IPeUovuBHij32I5Jbg,UCVoD0IPeUovuBHij32I5Jbg,creator,3,2041,462,0,680.33,0.226360,0.6667,176,1386.4,0.00
UC77caM4HJbY4IyW3tIbbShg,UC77caM4HJbY4IyW3tIbbShg,creator,2,2027,6,0,1013.50,0.002960,1.0000,1013.5,1561.1000000000001,0.00
UC15_AGnISkye3y6reVN35tg,UC15_AGnISkye3y6reVN35tg,creator,4,1964,11,0,491.00,0.005601,0.5000,491,652.2,0.00
UC_kzH6xrqY1S92g78fhpmJQ,UC_kzH6xrqY1S92g78fhpmJQ,creator,1,1960,28,0,1960.00,0.014286,1.0000,1960,1960,0.00
UCMfo59VMFZgx_OdO0IVIJkA,UCMfo59VMFZgx_OdO0IVIJkA,creator,1,1946,48,29,1946.00,0.039568,0.0000,1946,1946,0.00
UCIUVgAxp2nnbjG9VlwLOOOg,UCIUVgAxp2nnbjG9VlwLOOOg,creator,1,1940,2,0,1940.00,0.001031,1.0000,1940,1940,0.00
UC9azyDO65fkyTOn0_m4CUAw,UC9azyDO65fkyTOn0_m4CUAw,creator,1,1915,22,0,1915.00,0.011488,1.0000,1915,1915,0.00
UCVZJKo81lKHb_FEL8I7fWeA,UCVZJKo81lKHb_FEL8I7fWeA,creator,1,1840,5,0,1840.00,0.002717,1.0000,1840,1840,0.00
UCUZEEccheJ0fdUQUbmSQtBA,UCUZEEccheJ0fdUQUbmSQtBA,creator,1,1827,9,0,1827.00,0.004926,1.0000,1827,1827,0.00
UC-xnT3XjrkvMrAzklbE0UKg,UC-xnT3XjrkvMrAzklbE0UKg,creator,3,1814,13,4,604.67,0.009372,0.3333,744,744,0.00
UCynCPrpg15mqsm6bqrd6TdQ,UCynCPrpg15mqsm6bqrd6TdQ,creator,4,1797,10,0,449.25,0.005565,1.0000,459,513.7,0.00
