week,uploads,views,likes,comments,er,shorts_ratio
2025-W35,14,108758,1965,184,0.019759,0.5000
2025-W36,171,836167,2147,482,0.003144,0.6959
2025-W37,160,795327,14760,1015,0.019835,0.6250
2025-W38,168,192386,2699,142,0.014767,0.6905
2025-W39,140,149472,1340,155,0.010002,0.6929
2025-W40,20,7080,62,24,0.012147,0.3000
