product,format,uploads,views,likes,comments,er
덴서티,shorts,16,39362,634,25,0.016742
덴서티,video,10,121853,1964,194,0.017710
리니어지,shorts,3,7804,34,3,0.004741
리니어지,video,3,18502,31,19,0.002702
리니어펌,video,1,0,0,0,0.000000
리프테라,shorts,6,7752,0,0,0.000000
리프테라,video,5,148342,2513,192,0.018235
볼뉴머,shorts,9,9871,25,7,0.003242
볼뉴머,video,4,1859,473,10,0.259817
브이로,shorts,2,1417,16,0,0.011291
브이로,video,1,7556,277,28,0.040365
세르프,shorts,41,41865,175,17,0.004586
세르프,video,12,12770,68,8,0.005951
슈링크,shorts,18,20758,89,8,0.004673
슈링크,video,19,627603,1483,210,0.002698
써마지,shorts,79,137828,558,43,0.004361
써마지,video,33,257311,5912,302,0.024150
올리지오,shorts,9,6865,43,2,0.006555
올리지오,video,5,9677,177,13,0.019634
울쎄라,shorts,223,314557,1405,114,0.004829
울쎄라,video,98,149085,4998,328,0.035725
인모드,shorts,21,15487,51,9,0.003874
인모드,video,18,45673,1290,152,0.031572
쿨소닉,shorts,2,1105,72,10,0.074208
쿨소닉,video,3,5017,36,50,0.017142
쿨페이즈,shorts,5,1763,79,24,0.058423
쿨페이즈,video,2,3214,18,31,0.015246
텐써마,shorts,3,1420,15,0,0.010563
텐써마,video,6,18987,207,74,0.014800
텐쎄라,shorts,1,230,7,0,0.030435
텐쎄라,video,1,12962,12,12,0.001852
튠라이너,shorts,2,2634,12,0,0.004556
튠라이너,video,4,2737,48,14,0.022653
튠페이스,shorts,5,6411,23,0,0.003588
튠페이스,video,4,28913,228,103,0.011448
